Configuration,Experiment,Neurons,Accuracy,FAR,FRR,EER
combined,sensor,30,98.04,1.97,1.91,1.94
acc_only,sensor,30,97.73,2.28,2.21,2.24
gyro_only,sensor,30,90.39,9.65,9.26,9.46
10_neurons,neurons,10,99.18,0.81,0.96,0.88
20_neurons,neurons,20,98.58,1.43,1.32,1.38
30_neurons,neurons,30,98.81,1.21,1.03,1.12
50_neurons,neurons,50,98.68,1.32,1.32,1.32
60-40_split,split_ratio,30,98.74,1.24,1.40,1.32
70-30_split,split_ratio,30,98.37,1.63,1.62,1.63
80-20_split,split_ratio,30,99.15,0.85,0.88,0.87
105_features,feature_reduction,30,98.74,1.27,1.18,1.23
70_features,feature_reduction,30,98.48,1.53,1.47,1.50
50_features,feature_reduction,30,96.17,3.83,3.82,3.83
30_features,feature_reduction,30,96.68,3.31,3.38,3.35
90_PCA,PCA,10,96.74,3.27,3.16,3.21
70_PCA,PCA,10,98.30,1.69,1.76,1.73
50_PCA,PCA,10,97.51,2.48,2.57,2.52
30_PCA,PCA,10,97.38,2.63,2.57,2.60
SVM,algorithm,0,98.18,1.82,1.84,1.83
